RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
35525,35525,2018-09-06 16:37:25.5759498,1102,Info,Microsoft-Windows-Eventlog,Security,744,308,base-file.shieldbase.lan,0,,Event log cleared,shieldbase\spsql,,SID: (S-1-5-21-3445421715-2530590580-3149308974-1193),,,,,,,False,{{CASE_DIR}}/analysis/evtx/Security.evtx,0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-3445421715-2530590580-3149308974-1193"",""SubjectUserName"":""spsql"",""SubjectDomainName"":""shieldbase"",""SubjectLogonId"":""0x7CABE97""}}}"
35551,35551,2018-09-06 17:07:19.2403601,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5172,base-file.shieldbase.lan,0,,A new process has been created,shieldbase\BASE-FILE$,,Parent process: ,PID: 0x1808,Parent PID: 0xC5C,Mandatory label: ,Target User: \,,C:\Windows\System32\cmd.exe C:\windows\system32\cmd.exe /C dir \\172.16.6.12\c$\windows\temp\perfmon\,False,{{CASE_DIR}}/analysis/evtx/Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""BASE-FILE$""},{""@Name"":""SubjectDomainName"",""#text"":""shieldbase""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x1808""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0xC5C""},{""@Name"":""CommandLine"",""#text"":""C:\\windows\\system32\\cmd.exe /C dir \\\\172.16.6.12\\c$\\windows\\temp\\perfmon\\""}]}}"
35738,35738,2018-09-06 19:25:36.9022099,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3104,base-file.shieldbase.lan,2,,A new process has been created,shieldbase\BASE-FILE$,,Parent process: ,PID: 0x1810,Parent PID: 0x218,Mandatory label: ,Target User: \,,"C:\Windows\subject_srv.exe C:\windows\subject_srv.exe -s ""base-hunt.shieldbase.lan:5682"" -l 3262 -v ""F-Response Subject"" -k ""155522845""",False,{{CASE_DIR}}/analysis/evtx/Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""BASE-FILE$""},{""@Name"":""SubjectDomainName"",""#text"":""shieldbase""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x1810""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\subject_srv.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x218""},{""@Name"":""CommandLine"",""#text"":""C:\\windows\\subject_srv.exe -s \""base-hunt.shieldbase.lan:5682\"" -l 3262 -v \""F-Response Subject\"" -k \""155522845\""""}]}}"
