RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
103475,103475,2018-09-06 19:25:36.8552549,7045,Info,Service Control Manager,System,536,5612,base-file.shieldbase.lan,0,S-1-5-21-3445421715-2530590580-3149308974-1185,A new service was installed in the system,,,Name: F-Response Subject,StartType: auto start,Account: LocalSystem,,,,"C:\windows\subject_srv.exe -s ""base-hunt.shieldbase.lan:5682"" -l 3262 -v ""F-Response Subject"" -k ""155522845""",False,{{CASE_DIR}}/analysis/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""F-Response Subject""},{""@Name"":""ImagePath"",""#text"":""C:\\windows\\subject_srv.exe -s \""base-hunt.shieldbase.lan:5682\"" -l 3262 -v \""F-Response Subject\"" -k \""155522845\""""},{""@Name"":""ServiceType"",""#text"":""user mode service""},{""@Name"":""StartType"",""#text"":""auto start""},{""@Name"":""AccountName"",""#text"":""LocalSystem""}]}}"
3475,3475,2018-04-26 01:13:12.0859393,7045,Info,Service Control Manager,System,564,636,base-file.shieldbase.lan,3,S-1-5-18,A new service was installed in the system,,,Name: Microsoft Advanced API 64,StartType: auto start,Account: LocalSystem,,,,C:\Program Files (x86)\Microsoft Advanced API 64\msadvapi2_64.exe,False,{{CASE_DIR}}/analysis/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""Microsoft Advanced API 64""},{""@Name"":""ImagePath"",""#text"":""C:\\Program Files (x86)\\Microsoft Advanced API 64\\msadvapi2_64.exe""},{""@Name"":""ServiceType"",""#text"":""user mode service""},{""@Name"":""StartType"",""#text"":""auto start""},{""@Name"":""AccountName"",""#text"":""LocalSystem""}]}}"
3482,3482,2018-04-26 01:13:36.2172358,7045,Info,Service Control Manager,System,564,636,base-file.shieldbase.lan,3,S-1-5-18,A new service was installed in the system,,,Name: Microsoft Advanced API 32,StartType: auto start,Account: LocalSystem,,,,C:\Program Files (x86)\Microsoft Advanced API 32\msadvapi2_32.exe,False,{{CASE_DIR}}/analysis/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""Microsoft Advanced API 32""},{""@Name"":""ImagePath"",""#text"":""C:\\Program Files (x86)\\Microsoft Advanced API 32\\msadvapi2_32.exe""},{""@Name"":""ServiceType"",""#text"":""user mode service""},{""@Name"":""StartType"",""#text"":""auto start""},{""@Name"":""AccountName"",""#text"":""LocalSystem""}]}}"
42756,42756,2018-05-08 21:06:24.2801727,7045,Info,Service Control Manager,System,496,2204,base-file.shieldbase.lan,220,S-1-5-18,A new service was installed in the system,,,Name: Microsoft Advanced API 64,StartType: auto start,Account: LocalSystem,,,,C:\Program Files (x86)\Microsoft Advanced API 64\msadvapi2_64.exe,False,{{CASE_DIR}}/analysis/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""Microsoft Advanced API 64""},{""@Name"":""ImagePath"",""#text"":""C:\\Program Files (x86)\\Microsoft Advanced API 64\\msadvapi2_64.exe""},{""@Name"":""ServiceType"",""#text"":""user mode service""},{""@Name"":""StartType"",""#text"":""auto start""},{""@Name"":""AccountName"",""#text"":""LocalSystem""}]}}"
42763,42763,2018-05-08 21:06:37.7336091,7045,Info,Service Control Manager,System,496,800,base-file.shieldbase.lan,220,S-1-5-18,A new service was installed in the system,,,Name: Microsoft Advanced API 32,StartType: auto start,Account: LocalSystem,,,,C:\Program Files (x86)\Microsoft Advanced API 32\msadvapi2_32.exe,False,{{CASE_DIR}}/analysis/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""Microsoft Advanced API 32""},{""@Name"":""ImagePath"",""#text"":""C:\\Program Files (x86)\\Microsoft Advanced API 32\\msadvapi2_32.exe""},{""@Name"":""ServiceType"",""#text"":""user mode service""},{""@Name"":""StartType"",""#text"":""auto start""},{""@Name"":""AccountName"",""#text"":""LocalSystem""}]}}"
