RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2018-05-08 21:07:39.0000000,7045,Info,Service Control Manager,System,716,6724,base-rd01,0,,A service was installed in the system.,SYSTEM,,Name: Microsoft Advanced API 64,C:\Program Files (x86)\Microsoft Advanced API 64\msadvapi2_64.exe,StartType: auto start,Account: LocalSystem,,,,False,{{CASE_DIR}}/evtx/System.evtx,,0,
2,2,2018-05-08 21:07:57.0000000,7045,Info,Service Control Manager,System,716,6724,base-rd01,0,,A service was installed in the system.,SYSTEM,,Name: Microsoft Advanced API 32,C:\Program Files (x86)\Microsoft Advanced API 32\msadvapi2_32.exe,StartType: auto start,Account: LocalSystem,,,,False,{{CASE_DIR}}/evtx/System.evtx,,0,
3,3,2018-08-27 23:57:45.0000000,7045,Info,Service Control Manager,System,716,6724,base-rd01,0,,A service was installed in the system.,SYSTEM,,Name: a03d616,\\127.0.0.1\C$\a34e015.exe,StartType: demand start,Account: LocalSystem,,,,False,{{CASE_DIR}}/evtx/System.evtx,,0,
4,4,2018-09-06 18:28:30.0000000,7045,Info,Service Control Manager,System,716,6724,base-rd01,0,,A service was installed in the system.,SYSTEM,,Name: F-Response Subject,"C:\windows\subject_srv.exe -s ""base-hunt.shieldbase.lan:5682""",StartType: auto start,Account: LocalSystem,,,,False,{{CASE_DIR}}/evtx/System.evtx,,0,
