RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
27304,27304,2018-09-06 22:11:15.4032384,7045,Info,Service Control Manager,System,644,4648,base-dc.shieldbase.lan,142,S-1-5-21-3445421715-2530590580-3149308974-1185,A new service was installed in the system,,,Name: F-Response Subject,StartType: auto start,Account: LocalSystem,,,,"C:\windows\subject_srv.exe -s ""base-hunt.shieldbase.lan:5682"" -l 3262 -v ""F-Response Subject"" -k ""155522845""",False,{{CASE_DIR}}/evidence/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""F-Response Subject""},{""@Name"":""ImagePath"",""#text"":""C:\\windows\\subject_srv.exe -s \""base-hunt.shieldbase.lan:5682\"" -l 3262 -v \""F-Response Subject\"" -k \""155522845\""""},{""@Name"":""ServiceType"",""#text"":""user mode service""},{""@Name"":""StartType"",""#text"":""auto start""},{""@Name"":""AccountName"",""#text"":""LocalSystem""}]}}"
27305,27305,2018-09-06 22:11:15.9032494,7045,Info,Service Control Manager,System,644,4648,base-dc.shieldbase.lan,142,S-1-5-18,A new service was installed in the system,,,Name: mnemosyne,StartType: demand start,Account: ,,,,C:\windows/Mnemosyne.sys,False,{{CASE_DIR}}/evidence/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""mnemosyne""},{""@Name"":""ImagePath"",""#text"":""C:\\windows/Mnemosyne.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
27786,27786,2018-09-07 20:26:45.4343057,7045,Info,Service Control Manager,System,648,736,base-dc.shieldbase.lan,145,S-1-5-18,A new service was installed in the system,,,Name: mnemosyne,StartType: demand start,Account: ,,,,C:\windows/Mnemosyne.sys,False,{{CASE_DIR}}/evidence/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""mnemosyne""},{""@Name"":""ImagePath"",""#text"":""C:\\windows/Mnemosyne.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
27843,27843,2018-09-07 20:30:59.8984593,7045,Info,Service Control Manager,System,648,736,base-dc.shieldbase.lan,145,S-1-5-18,A new service was installed in the system,,,Name: mnemosyne,StartType: demand start,Account: ,,,,C:\windows/Mnemosyne.sys,False,{{CASE_DIR}}/evidence/evtx/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""mnemosyne""},{""@Name"":""ImagePath"",""#text"":""C:\\windows/Mnemosyne.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
