RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
7337866,7337866,2018-09-04 13:22:55.2735171,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,660,8764,base-dc.shieldbase.lan,18,,Operation performed on an object,shieldbase\BASE-DC$,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{ea256d7b-3682-46a0-b981-e60531acea11},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,{{CASE_DIR}}/evidence/evtx/Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""BASE-DC$""},{""@Name"":""SubjectDomainName"",""#text"":""shieldbase""},{""@Name"":""SubjectLogonId"",""#text"":""0x9C67B""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{ea256d7b-3682-46a0-b981-e60531acea11}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {1131f6aa-9c07-11d1-f79f-00c04fc2dcd2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
7342532,7342532,2018-09-04 14:22:55.5542315,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,660,4488,base-dc.shieldbase.lan,64,,Operation performed on an object,shieldbase\BASE-DC$,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{ea256d7b-3682-46a0-b981-e60531acea11},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,{{CASE_DIR}}/evidence/evtx/Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""BASE-DC$""},{""@Name"":""SubjectDomainName"",""#text"":""shieldbase""},{""@Name"":""SubjectLogonId"",""#text"":""0x9C67B""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{ea256d7b-3682-46a0-b981-e60531acea11}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {1131f6aa-9c07-11d1-f79f-00c04fc2dcd2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
